created_at,Account Linking & Chime Issues,Advance Application & Criteria,Identity & Verification Problems,Notifications & Support,User Interface & Performance
2025-06-15 00:00:00+00:00,1.0,1.0,1.0,0.0,0.0
2025-06-22 00:00:00+00:00,1.0,1.0,1.0,0.75,1.0
2025-06-29 00:00:00+00:00,1.0,1.0,1.0,0.5,0.6666666666666666
2025-07-06 00:00:00+00:00,1.0,1.0,1.0,0.8,1.0
2025-07-13 00:00:00+00:00,1.0,1.0,1.0,0.7142857142857143,1.0
2025-07-20 00:00:00+00:00,1.0,1.0,1.0,0.8,1.0
2025-07-27 00:00:00+00:00,1.0,0.75,1.0,0.5,0.8333333333333334
2025-08-03 00:00:00+00:00,1.0,0.875,1.0,0.6,1.0
2025-08-10 00:00:00+00:00,1.0,1.0,1.0,0.8,0.75
2025-08-17 00:00:00+00:00,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0
2025-08-24 00:00:00+00:00,1.0,0.75,1.0,0.75,1.0
