id,customer_id,created_at,message,concise_theme,sentiment,theme_category
87485d65-56d3-4cd5-9667-5421ef7607a0,cust_00056,2025-06-14 02:39:55+00:00,Why does the selfie step repeat?,Repeated selfie verification step,Negative,Identity & Verification Problems
d704af82-a1cf-4dce-9685-bb53a818cf8c,cust_00781,2025-06-14 07:32:43+00:00,Customer support was super helpful.,Helpful customer support,Positive,Notifications & Support
696393b6-b3db-4622-8841-67f49ca27a6a,cust_00269,2025-06-14 08:14:43+00:00,The approval rules are unclear—got rejected again.,Unclear advance approval rules,Negative,Advance Application & Criteria
a4f49e7a-88ce-45aa-ae45-af6a2773967a,cust_00225,2025-06-14 12:54:13+00:00,Loving the instant access to cash—thanks!,Appreciation for instant cash,Positive,Notifications & Support
39984937-8702-41c4-8dcb-a619e8474d34,cust_00694,2025-06-14 21:52:51+00:00,The new UI looks clean and easy to use.,New UI clean and easy,Positive,User Interface & Performance
14040265-b6de-42e0-bd78-02c017fa57cd,cust_00855,2025-06-14 22:30:55+00:00,Chime connection keeps timing out during link.,Chime connection timing out,Negative,Account Linking & Chime Issues
f5081c3c-6a2a-4343-b6f1-a474182cfeaf,cust_00498,2025-06-15 10:22:17+00:00,"Great app, the budgeting tips helped me.",Appreciation for budgeting tips,Positive,Notifications & Support
4a094a5f-5497-40fc-8114-c1069df29959,cust_00686,2025-06-15 23:28:19+00:00,"My ID got rejected, but the image was clear.",ID rejection despite clear image,Negative,Identity & Verification Problems
314d119a-fe72-4435-93fb-57496ca262c5,cust_00787,2025-06-16 08:53:55+00:00,Chime won’t connect even after multiple tries.,Chime account connection failure,Negative,Account Linking & Chime Issues
c22b094e-4396-4e3d-9be7-5de3a2192d72,cust_00625,2025-06-16 10:17:41+00:00,Why does the selfie step repeat?,Repeated selfie verification step,Negative,Identity & Verification Problems
0fa25f1f-5de9-42f0-bd8d-4ad22d2edc24,cust_00473,2025-06-16 15:08:08+00:00,Chime won’t connect even after multiple tries.,Chime account connection failure,Negative,Account Linking & Chime Issues
f477818c-fa7f-4d38-a05b-ac0633f7c198,cust_00028,2025-06-16 21:24:57+00:00,Chime connection keeps timing out during link.,Chime connection timing out,Negative,Account Linking & Chime Issues
f4c5de33-aac3-49f7-8336-8c5ca3ec8d36,cust_00437,2025-06-17 00:34:10+00:00,Chime won’t connect even after multiple tries.,Chime account connection failure,Negative,Account Linking & Chime Issues
55e6b834-c6b9-41b3-9bd8-1e8a68bd5670,cust_00806,2025-06-17 17:07:44+00:00,Chime won’t connect even after multiple tries.,Chime account connection failure,Negative,Account Linking & Chime Issues
5cd5e5c0-b6ff-4c30-8917-2078eeae28e4,cust_00579,2025-06-17 20:35:17+00:00,Can't pass identity check; it keeps resetting.,Identity check keeps resetting,Negative,Identity & Verification Problems
c4cbdf34-ed89-4c24-9967-09760d817cff,cust_00659,2025-06-18 05:01:52+00:00,Why does the selfie step repeat?,Repeated selfie verification step,Negative,Identity & Verification Problems
facfedea-ec00-404a-b882-b7ef3d9f3272,cust_00812,2025-06-18 13:46:20+00:00,Crashes when I open the Advance screen.,App crashes on Advance screen,Negative,User Interface & Performance
2c3174fd-2661-44fc-9941-f8f36fcbeb55,cust_00046,2025-06-18 22:21:12+00:00,Chime won’t connect even after multiple tries.,Chime account connection failure,Negative,Account Linking & Chime Issues
da96a915-3cde-4802-837d-832790a34d67,cust_00067,2025-06-18 23:41:59+00:00,Requirements seem too strict for small advances.,Strict advance requirements,Negative,Advance Application & Criteria
ec70f407-c24f-4779-9940-21d6e3b8797f,cust_00411,2025-06-19 10:19:41+00:00,Why was my advance denied? I meet the criteria.,Advance denied despite criteria,Negative,Advance Application & Criteria
111f3187-e3c7-4e20-9502-a8d3fa843cca,cust_00073,2025-06-19 17:10:08+00:00,Why was my advance denied? I meet the criteria.,Advance denied despite criteria,Negative,Advance Application & Criteria
4b30d93f-c2e3-495f-af69-79ce5dc99d92,cust_00845,2025-06-19 18:57:00+00:00,Linking to Chime returns an error code 102.,Chime linking error code 102,Negative,Account Linking & Chime Issues
4e9a82df-d350-43be-9968-0c9dfe149a50,cust_00213,2025-06-19 20:19:48+00:00,Stuck in an ID verification loop—keeps asking again.,ID verification loop issue,Negative,Identity & Verification Problems
6705b233-271a-48e7-b73a-952bda9e764b,cust_00522,2025-06-20 17:44:43+00:00,Customer support was super helpful.,Helpful customer support,Positive,Notifications & Support
82bdfb8f-098c-4a87-b689-7f520c14c4f9,cust_00714,2025-06-21 01:41:07+00:00,Stop sending me repeated repayment notifications.,Duplicate repayment notifications,Negative,Notifications & Support
00f16c2f-4688-4c85-b237-ffb8102f346e,cust_00371,2025-06-21 15:36:03+00:00,Stop sending me repeated repayment notifications.,Duplicate repayment notifications,Negative,Notifications & Support
6c5153ce-052e-440c-a124-feb35c849607,cust_00692,2025-06-21 18:39:23+00:00,App is slow on my Android phone.,App slowness on Android,Negative,User Interface & Performance
8288398a-1887-4581-b038-f8914dc2fbf0,cust_00157,2025-06-21 19:44:34+00:00,Chime connection keeps timing out during link.,Chime connection timing out,Negative,Account Linking & Chime Issues
ee478172-adc6-42d1-b639-fdeda74ee655,cust_00546,2025-06-22 07:34:13+00:00,App is slow on my Android phone.,App slowness on Android,Negative,User Interface & Performance
0856d6d6-8952-47e7-9420-803de6738a13,cust_00721,2025-06-22 18:34:56+00:00,Way too many repayment reminders this week.,Excessive repayment reminders,Negative,Notifications & Support
ac7192f8-e2c3-455f-b3d8-6b365b722575,cust_00314,2025-06-23 00:48:48+00:00,Requirements seem too strict for small advances.,Strict advance requirements,Negative,Advance Application & Criteria
1225f91e-8a13-4bdd-b34b-c4503aeb467d,cust_00112,2025-06-23 13:18:48+00:00,Linking to Chime returns an error code 102.,Chime linking error code 102,Negative,Account Linking & Chime Issues
18a87ea7-1028-4c2b-b2e7-95e42772976e,cust_00136,2025-06-23 16:57:23+00:00,Chime connection keeps timing out during link.,Chime connection timing out,Negative,Account Linking & Chime Issues
a55ea2b3-0951-4faf-b5bd-ba2dde14d7f2,cust_00048,2025-06-23 18:10:55+00:00,Please reduce the reminder frequency.,Reduce reminder frequency,Negative,Notifications & Support
88103244-c589-4e42-939d-ba3bf8ef2bac,cust_00033,2025-06-23 22:48:51+00:00,Why does the eslfie step repeat?,Repeated selfie verification step,Negative,Identity & Verification Problems
434e0219-033b-4e15-bdf2-ee8c13689d0f,cust_00110,2025-06-24 01:21:26+00:00,"Great app, the budgeting tips helped me.",Appreciation for budgeting tips,Positive,Notifications & Support
d99c5c4a-015a-4624-bd11-4ed01b817d7e,cust_00371,2025-06-25 00:48:19+00:00,The app freezes after login on Android.,App freezes after login,Negative,User Interface & Performance
2441296b-be06-42f1-98fa-42f07a53d8bf,cust_00263,2025-06-25 02:31:48+00:00,"My ID got rejected, but the image was clear.",ID rejection despite clear image,Negative,Identity & Verification Problems
232bd7e7-b3e1-49fe-83d7-d4a340a25187,cust_00111,2025-06-25 02:51:51+00:00,Crashes when I open the Advance screen.,App crashes on Advance screen,Negative,User Interface & Performance
cb9fdb45-0a42-4d5c-84e9-30a37da5224b,cust_00232,2025-06-25 04:20:53+00:00,Way too many repayment reminders this week.,Excessive repayment reminders,Negative,Notifications & Support
b333fb33-e939-4189-9595-6641bb708216,cust_00272,2025-06-25 04:44:56+00:00,Customer support was super helpful.,Helpful customer support,Positive,Notifications & Support
9784d108-b8b4-4766-9af5-01b58458feba,cust_00845,2025-06-25 06:06:00+00:00,The new UI looks clean and easy to use.,New UI clean and easy,Positive,User Interface & Performance
70054b2f-eda4-474b-a00a-ab29d07bea3f,cust_00603,2025-06-25 17:56:36+00:00,Why was my advance denied? I meet the criteria.,Advance denied despite criteria,Negative,Advance Application & Criteria
702441ec-d118-440a-a3a7-1ce5a346129b,cust_00658,2025-06-25 20:38:09+00:00,The new UI lokos clean and easy to use.,New UI easy to use,Positive,User Interface & Performance
5a0a3a8d-507d-4b0b-a066-e6282e4cade0,cust_00683,2025-06-26 02:22:52+00:00,Verification failed 3 times—what should I do?,Verification failed multiple times,Negative,Identity & Verification Problems
3ee730bb-ff32-4789-97a1-272527aa4604,cust_00170,2025-06-26 05:01:35+00:00,Chime won’t connect even after multiple tries.,Chime account connection failure,Negative,Account Linking & Chime Issues
